target,platform,amount,bribe_platform
0xf53B66d40D166eb8f6e33BA2cd4af35C81A4c6C2,balancer,275.2397,hh
0xf53B66d40D166eb8f6e33BA2cd4af35C81A4c6C2,aura,0.0000,hh
0xD3Ea1345352047bD039BaC9d4177c883E06D449d,balancer,357.8819,hh
0xD3Ea1345352047bD039BaC9d4177c883E06D449d,aura,0.0000,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,1070.6284,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,2064.5361,hh
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,balancer,724.3334,hh
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,aura,0.0000,hh
0x9b237fA1958E3022464343137738926d38815801,balancer,494.9343,hh
0x9b237fA1958E3022464343137738926d38815801,aura,954.4018,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,471.5206,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,909.2522,hh
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,balancer,188.1655,hh
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,aura,0.0000,hh
0x70A1c01902DAb7a45dcA1098Ca76A8314dd8aDbA,balancer,445.6863,hh
0x70A1c01902DAb7a45dcA1098Ca76A8314dd8aDbA,aura,1159.1561,hh
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,balancer,0.0000,hh
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,aura,1163.2963,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,balancer,893.6416,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,aura,4794.5505,hh
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,balancer,733.4902,hh
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,aura,0.0000,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,balancer,906.3823,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,aura,0.0000,hh
0x4B891340b51889f438a03DC0e8aAAFB0Bc89e7A6,balancer,406.1532,hh
0x4B891340b51889f438a03DC0e8aAAFB0Bc89e7A6,aura,996.8747,hh
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,balancer,795.0640,hh
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,aura,0.0000,hh
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,46775.31854993862452420098713,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,170.2873785621344922154299355,
