target,platform,amount,bribe_platform
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,893.0922,hh
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,0.0000,hh
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,0.0000,hh
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1484.9349,hh
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,balancer,1042.4235,hh
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,aura,0.0000,hh
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,balancer,1183.6878,hh
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,aura,0.0000,hh
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,406.5995,hh
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,1110.7204,hh
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,balancer,301.2505,hh
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,aura,1322.7727,hh
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,765.1429,hh
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,0.0000,hh
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,260.4855,hh
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,0.0000,hh
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,923.5226,hh
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,0.0000,hh
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,223.5275,hh
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,2248.7745,hh
0xf697535848B535900c76f70F1e36EC3985D27862,balancer,0.0000,hh
0xf697535848B535900c76f70F1e36EC3985D27862,aura,3002.8291,hh
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,5908.7832,hh
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000,hh
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,244.8015,hh
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,1208.4843,hh
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,0.0000,hh
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,4960.1756,hh
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,304.6107,hh
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,1953.2594,hh
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,572.7507,hh
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,0.0000,hh
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,0.0000,hh
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9633.4064,hh
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,25796.65712586498407293416915,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,314.9591646452094538011761272,
