target,amount,is_alliance,voting_pool_override,platform
0x9b237fA1958E3022464343137738926d38815801,839.4561,False,,
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,2450.1459,False,,
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,1354.9994,False,,
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,4097.6034,False,,
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,2283.4555,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,4920.458783614806963725863432,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,138.6377510383999593159414796,,,beets
