chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
arbitrum,10847.8517,6998.3394,3849.5123,673.6647,3175.8477,0.0000,17.50,82.50,0.00
avalanche,517.4539,367.5022,149.9517,26.2415,123.7101,0.0000,17.50,82.50,0.00
polygon,13206.9482,1087.2033,12119.7449,2120.9554,9998.7896,0.0000,17.50,82.50,0.00
base,3165.1428,2246.2151,918.9277,160.8124,758.1154,0.0000,17.50,82.50,0.00
gnosis,16717.5671,149.2055,16568.3616,2899.4633,13668.8983,0.0000,17.50,82.50,0.00
mainnet,134229.1338,42412.4120,91816.7218,16067.9263,75748.7955,0.0000,17.50,82.50,0.00
optimism,2916.5900,2522.7865,393.8035,34.4578,162.4439,196.9017,17.50,82.50,50.00
