chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
arbitrum,7788.6291,6292.6584,1495.9707,261.7949,1234.1758,17.50,82.50
avalanche,753.9155,452.2410,301.6745,52.7930,248.8814,17.50,82.50
gnosis,22831.8101,2236.4520,20595.3581,3604.1877,16991.1704,17.50,82.50
polygon,13079.9639,973.6334,12106.3306,2118.6078,9987.7227,17.50,82.50
base,10511.3206,3286.1882,7225.1324,1264.3982,5960.7342,17.50,82.50
mainnet,127979.2369,42901.8341,85077.4028,14888.5455,70188.8573,17.50,82.50
