chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
avalanche,4923.9557,4395.0930,528.8627,92.5510,436.3117,0.0000,17.50,82.50,0.00
mainnet,11241.4624,11069.0597,172.4027,30.1705,142.2323,0.0000,17.50,82.50,0.00
base,15674.1422,7800.4152,7873.7271,1377.9022,6495.8248,0.0000,17.50,82.50,0.00
arbitrum,1142.9057,1792.8637,0.0000,0.0000,0.0000,0.0000,17.50,82.50,0.00
gnosis,3389.0358,3296.4864,92.5494,16.1961,76.3532,0.0000,17.50,82.50,0.00
optimism,2041.0000,1899.4819,141.5181,12.3828,58.3762,70.7590,17.50,82.50,50.00
