chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
gnosis,22079.0162,891.6407,21187.3755,3707.7907,17479.5848,0.0000,17.50,82.50,0.00
arbitrum,8762.9771,4894.9188,3868.0582,676.9102,3191.1480,0.0000,17.50,82.50,0.00
avalanche,1398.2170,479.1564,919.0606,160.8356,758.2250,0.0000,17.50,82.50,0.00
polygon,13294.9744,1294.5565,12000.4179,2100.0731,9900.3448,0.0000,17.50,82.50,0.00
base,5301.6370,4221.4761,1080.1609,189.0282,891.1327,0.0000,17.50,82.50,0.00
mainnet,149026.3397,52198.3990,96827.9407,16944.8896,79883.0511,0.0000,17.50,82.50,0.00
fraxtal,50945.0100,0,50945.0100,8915.3768,42029.6333,0.0000,17.50,82.50,0.00
optimism,4232.8904,2301.7169,1931.1736,168.9777,796.6091,965.5868,17.50,82.50,50.00
