chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
optimism,2144.0234,1978.7176,165.3058,14.4643,68.1887,82.6529,17.50,82.50,50.00
base,41305.7779,6783.3422,33252.1910,5819.1334,27433.0576,0.0000,17.50,82.50,0.00
gnosis,2867.2300,2471.8130,395.4170,69.1980,326.2190,0.0000,17.50,82.50,0.00
arbitrum,8528.7009,4828.2932,3700.4078,647.5714,3052.8364,0.0000,17.50,82.50,0.00
avalanche,7484.8002,4012.8555,3471.9447,607.5903,2864.3544,0.0000,17.50,82.50,0.00
mainnet,45749.2093,384765709166.2902,0.0000,0.0000,0.0000,0.0000,17.50,82.50,0.00
