chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
fraxtal,20000.0000,812.2236,19187.7764,3357.8609,15829.9155,17.50,82.50
gnosis,24545.3684,3865.9979,20679.3705,3618.8898,17060.4807,17.50,82.50
arbitrum,16560.7329,10113.0536,6447.6793,1128.3439,5319.3354,17.50,82.50
avalanche,1018.7462,552.8006,465.9456,81.5405,384.4051,17.50,82.50
polygon,15708.7656,1678.5971,14030.1686,2455.2795,11574.8891,17.50,82.50
base,3768.8233,3437.0803,331.7430,58.0550,273.6880,17.50,82.50
mainnet,61785.0000,58549.8397,3235.1603,566.1530,2669.0072,17.50,82.50
