pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,5111.6804,4101.5542,2208.5292,6404.5709,4934.9478,1469.6232,94.4876,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,692.0099,555.2609,298.9866,867.0391,0.0000,867.0391,12.7916,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,71917.9594,34428.9881,18538.6859,53311.1920,36734.0429,16577.1491,343.5181,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,33933.0505,16244.6293,8747.1081,25153.8195,17624.7723,7529.0472,162.0821,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,20048.1053,9597.5467,5167.9098,14861.2168,10639.5989,4221.6180,95.7603,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,19818.2060,9487.4880,5108.6474,14690.7976,0.0000,14690.7976,94.6622,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,14434.8146,6910.3193,3720.9411,10700.2087,7815.6908,2884.5179,68.9483,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,8640.7042,4136.5287,2227.3616,6405.1628,4900.8168,1504.3460,41.2726,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,7751.7368,3710.9570,1998.2076,5746.1909,4453.5992,1292.5917,37.0264,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,6558.1370,3139.5499,1690.5269,4861.4019,3853.1287,1008.2732,31.3251,0
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,5736.3744,2746.1508,1478.6966,4252.2474,3439.7201,812.5273,27.3999,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,5616.7053,2688.8622,1447.8489,4163.5394,3379.5176,784.0218,26.8283,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,4200.0285,2010.6623,1082.6643,3113.3882,2666.8224,446.5658,20.0615,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,4102.0578,1963.7612,1057.4099,3040.7647,2617.5358,423.2289,19.5936,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,3813.9622,1825.8424,983.1459,2827.2058,2472.6020,354.6038,18.2175,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,2846.4183,1362.6541,733.7368,2109.9869,1985.8545,124.1324,13.5960,0
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1850.3606,885.8155,476.9776,1371.6313,1371.6313,0.0000,8.8383,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1644.3009,787.1694,423.8604,1218.8839,1218.8839,0.0000,7.8540,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1609.9827,770.7404,415.0141,1193.4446,1193.4446,0.0000,7.6901,0
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,1537.1837,735.8896,396.2483,1139.4803,1139.4803,0.0000,7.3424,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,1373.7929,657.6702,354.1301,1018.3623,1018.3623,0.0000,6.5620,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,11037.3477,5943.1872,16980.5350,11524.0028,5456.5322,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,187.4790,2887.9045,1555.0255,4442.9300,3015.2370,1427.6930,0.0000,0
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,391.6240,210.8745,602.4984,0.0000,602.4984,0.0000,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,5272.5410,2839.0605,8111.6016,5913.9075,2197.6941,0.0000,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,28291.3990,14501.2761,7808.3794,22993.9955,16080.7047,6913.2908,684.3400,0
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,3927.5715,2013.1489,1084.0033,3192.1561,2641.9967,550.1594,95.0039,0
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,2759.1716,1414.2641,761.5268,2242.5324,1997.5255,245.0069,66.7415,0
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1343.2093,688.4866,370.7236,1091.7010,0.0000,1091.7010,32.4909,0
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,1243.5716,637.4155,343.2237,1010.7199,0.0000,1010.7199,30.0807,0
