pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,6211.8844,3529.0098,1900.2361,5429.2459,4336.3482,1092.8977,0.0000,0,1724794238
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,962.4999,546.8022,294.4319,841.2341,0.0000,841.2341,0.0000,0,1724787487
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,134458.3092,66390.7100,35748.8438,102720.3648,71539.1831,31181.1817,580.8109,0,1724798411
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,31375.7967,15492.2476,8341.9795,23969.7592,17079.2295,6890.5297,135.5320,0,1724794943
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,18356.8380,9063.9509,4880.5889,14023.8347,10201.1289,3822.7058,79.2949,0,1724623787
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,18205.9260,8989.4359,4840.4655,13908.5444,0.0000,13908.5444,78.6430,0,1724745671
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,15223.7193,7516.9288,4047.5770,11630.2667,8545.8578,3084.4089,65.7609,0,1724745671
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,13795.3473,6811.6497,3667.8114,10539.0520,7791.2286,2747.8234,59.5909,0,1724785007
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,11011.3255,5436.9992,2927.6150,8412.1791,6320.3904,2091.7887,47.5649,0,1724639327
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,10178.2534,5025.6580,2706.1235,7775.7478,5880.2666,1895.4812,43.9663,0,1724431187
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,6808.9006,3361.9919,1810.3033,5201.7072,4100.1897,1101.5175,29.4120,0,1724642579
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,5105.9058,2521.1139,1357.5229,3900.6924,3200.4734,700.2190,22.0557,0,1724634395
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,4734.3356,2337.6458,1258.7323,3616.8287,3004.1676,612.6612,20.4506,0,1724738807
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,4189.3996,2068.5759,1113.8485,3200.5211,2716.2702,484.2509,18.0967,0,1723917863
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,3632.4966,1793.5971,965.7830,2775.0711,2422.0504,353.0207,15.6911,0,1724742731
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2559.3368,1263.7091,680.4587,1955.2232,1855.0849,100.1383,11.0554,0,1724636015
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2208.9337,1090.6925,587.2960,1687.5303,1669.9619,17.5684,9.5418,0,1724690699
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,1944.8183,960.2818,517.0748,1485.7575,1485.7575,0.0000,8.4009,0,1724465423
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1620.3484,800.0702,430.8070,1237.8765,1237.8765,0.0000,6.9993,0,1723234907
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,1559.3797,769.9660,414.5971,1191.2990,1191.2990,0.0000,6.7360,0,1724719607
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1472.6346,727.1344,391.5339,1125.0295,1125.0295,0.0000,6.3612,0,1724788535
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1453.8435,717.8560,386.5378,1110.6739,1110.6739,0.0000,6.2801,0,1724715467
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,1400.7591,691.6448,372.4241,1070.1197,1070.1197,0.0000,6.0508,0,1719912467
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,833.9163,411.7581,221.7159,637.0762,0.0000,637.0762,3.6022,0,1724766323
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,7748.8221,7798.0370,4198.9430,11996.9800,8296.5073,3700.4727,0.0000,0,1724793925
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,2157.2299,978.1872,526.7162,1543.9743,1543.9743,0.0000,39.0709,0,1724771417
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,1217.0678,551.8745,297.1632,871.0807,0.0000,871.0807,22.0431,0,1724766871
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,11640.8350,3967.4710,2136.3306,6103.8016,4221.0819,1882.7197,0.0000,0,1724784272
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,2389.1729,814.2865,438.4619,1252.7484,866.3377,386.4107,0.0000,0,1724686769
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,10275.9523,4849.8179,2611.4404,8518.7654,6302.3323,2216.4331,1057.5070,0,1724796403
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,2985.7772,1409.1614,758.7792,2475.2096,2122.9134,352.2962,307.2689,0,1724797611
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,2376.0715,1121.4060,603.8340,1969.7635,1773.3723,196.3912,244.5235,0,1724788954
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,1669.5512,787.9580,424.2851,1384.0581,1368.3279,15.7301,171.8149,0,1724742777
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,1089.5054,514.2008,276.8773,903.2000,0.0000,903.2000,112.1219,0,1724797548
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,1051.6464,496.3329,267.2562,871.8150,0.0000,871.8150,108.2258,0,1724675436
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,727.7605,343.4724,184.9467,603.3135,0.0000,603.3135,74.8945,0,1724742656
