pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3349.2142,3779.5149,2035.1234,5814.6383,2730.3560,3084.2823,0.0000,0,1724794238
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,3100.8680,3499.2617,1884.2178,5383.4795,2527.8985,2855.5810,0.0000,0,1724787487
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1052.8070,1188.0696,639.7298,1827.7994,858.2723,969.5271,0.0000,0,1724681882
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,30961.4723,16910.0346,9105.4032,26031.6806,0.0000,26031.6806,16.2428,0,1724745671
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,22712.3510,12404.6633,6679.4341,19096.0126,10142.9720,8953.0406,11.9152,0,1723917863
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,22580.4799,12332.6401,6640.6524,18985.1386,10090.9093,8894.2292,11.8460,0,1724742731
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,17920.7590,9787.6694,5270.2835,15067.3544,8251.2514,6816.1030,9.4015,0,1724745671
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,7532.0784,4113.7484,2215.0953,6332.7951,4149.8000,2182.9951,3.9514,0,1724690699
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,5626.5067,3072.9941,1654.6892,4730.6350,3397.4802,1333.1548,2.9517,0,1724634395
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,5214.4405,2847.9385,1533.5054,4384.1794,3234.7965,1149.3830,2.7356,0,1724719607
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,5165.6600,2821.2963,1519.1596,4343.1659,3215.5379,1127.6280,2.7100,0,1724465423
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,4646.6684,2537.8419,1366.5303,3906.8099,3010.6400,896.1699,2.4377,0,1724636015
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,2523.1567,1378.0568,742.0306,2121.4110,2121.4110,0.0000,1.3237,0,1723196687
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,2451.0591,1338.6797,720.8275,2060.7931,2060.7931,0.0000,1.2859,0,1724642579
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,2397.6056,1309.4853,705.1075,2015.8507,2015.8507,0.0000,1.2578,0,1724639327
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,1190.0958,649.9872,349.9931,1000.6046,0.0000,1000.6046,0.6243,0,1723391939
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,618.1544,337.6135,181.7919,519.7297,0.0000,519.7297,0.3243,0,1724788535
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,4482.2181,9515.6092,5123.7895,14639.3987,6874.1628,7765.2359,0.0000,0,1724793925
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,256.3393,1076.4241,579.6130,1656.0370,0.0000,1656.0370,0.0000,0,1724766871
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,218.8481,918.9903,494.8409,1413.8312,0.0000,1413.8312,0.0000,0,1724770639
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,7485.6645,2894.7710,1558.7229,4453.4939,2091.2090,2362.2849,0.0000,0,1724784272
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,3391.5932,1311.5583,706.2237,2017.7821,947.4817,1070.3004,0.0000,0,1724686769
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,28592.4571,19425.5760,10459.9256,29885.5016,14132.5143,15752.9873,0.0000,0,1724792764
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,3194.2209,2170.1381,1168.5359,3338.6740,1667.0287,1671.6453,0.0000,0,1724788730
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,2220.8276,1508.8194,812.4412,2321.2607,1189.2861,1131.9746,0.0000,0,1724708878
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,606.9737,412.3750,222.0481,634.4231,0.0000,634.4231,0.0000,0,1724788753
