pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,5860.2989,5072.7551,2731.4835,8017.8004,5952.9930,2064.8074,213.5618,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,578.7570,500.9800,269.7585,791.8296,0.0000,791.8296,21.0911,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,85010.6589,39704.2296,21379.2006,61480.0628,42332.3983,19147.6645,396.6326,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,38500.7301,17981.7666,9682.4897,27843.8885,19603.1905,8240.6980,179.6321,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,24749.2709,11559.1474,6224.1563,17898.7758,0.0000,17898.7758,115.4722,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,23350.6063,10905.9011,5872.4083,16887.2558,12199.3883,4687.8675,108.9465,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,16539.9725,7724.9944,4159.6124,11961.7771,8871.0600,3090.7170,77.1702,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,11190.6305,5226.5841,2814.3145,8093.1106,6256.8589,1836.2517,52.2119,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,7566.8151,3534.0811,1902.9668,5472.3522,4485.9155,986.4367,35.3043,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,5299.8249,2475.2833,1332.8449,3832.8555,3378.0468,454.8086,24.7273,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,4646.1497,2169.9843,1168.4531,3360.1148,3058.5985,301.5163,21.6775,0
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,4408.3811,2058.9345,1108.6570,3188.1596,2942.4020,245.7576,20.5681,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,3669.3231,1713.7574,922.7925,2653.6698,2581.2274,72.4423,17.1199,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,2893.8081,1351.5531,727.7594,2092.8141,2092.8141,0.0000,13.5016,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2656.6915,1240.8078,668.1273,1921.3304,1921.3304,0.0000,12.3953,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2589.2012,1209.2865,651.1543,1872.5211,1872.5211,0.0000,12.0804,0
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,2535.1650,1184.0489,637.5648,1833.4419,1833.4419,0.0000,11.8283,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1714.4742,800.7452,431.1705,1239.9149,1239.9149,0.0000,7.9992,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,1611.3283,752.5709,405.2305,1165.3193,1165.3193,0.0000,7.5179,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1051.4676,491.0880,264.4320,760.4258,0.0000,760.4258,4.9058,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,10942.9060,5892.3340,16835.2400,11376.1947,5459.0453,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,260.0896,1460.9172,786.6477,2247.5650,1518.7628,728.8022,0.0000,0
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,472.6462,254.5018,727.1481,0.0000,727.1481,0.0000,0
