pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3374.2448,6791.1724,3656.7852,10447.9576,5642.2881,4805.6695,0.0000,0,1724276877
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,460.5505,926.9267,499.1144,1426.0411,920.4552,505.5859,0.0000,0,1724276653
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,214.8669,432.4518,232.8587,665.3105,0.0000,665.3105,0.0000,0,1724254278
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,25323.5296,13975.4552,7525.2451,21695.1696,0.0000,21695.1696,194.4694,0,1724201903
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,13902.0958,7672.2369,4131.2045,11910.2010,7864.0659,4046.1351,106.7597,0,1724253467
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,12700.8457,7009.2955,3774.2360,10881.0663,7325.4440,3555.6223,97.5348,0,1723917863
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,11527.9609,6362.0081,3425.6967,9876.2325,6799.5406,3076.6920,88.5278,0,1724233451
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,8250.6323,4553.3282,2451.7921,7068.4802,5330.0371,1738.4431,63.3599,0,1723538879
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,7465.9231,4120.2658,2218.6047,6396.2043,4978.1857,1418.0186,57.3338,0,1724170067
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,6857.2346,3784.3451,2037.7243,5874.7287,4705.2591,1169.4696,52.6594,0,1724284091
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,4388.1330,2421.7065,1303.9958,3759.4005,3598.1522,161.2483,33.6982,0,1724181791
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2823.4118,1558.1740,839.0168,2418.8729,2418.8729,0.0000,21.6821,0,1724242607
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1059.5113,584.7192,314.8488,907.7044,0.0000,907.7044,8.1364,0,1724009483
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,1013.6397,559.4037,301.2174,868.4052,0.0000,868.4052,7.7841,0,1723196687
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,997.1930,550.3271,296.3300,854.3150,0.0000,854.3150,7.6578,0,1723391939
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,698.6772,385.5834,207.6218,598.5706,0.0000,598.5706,5.3654,0,1723414355
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,8878.0123,4780.4682,13658.4805,7148.4880,6509.9925,0.0000,0,1724251055
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,60.6439,768.5002,413.8078,1182.3081,0.0000,1182.3081,0.0000,0,1723974903
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,621.5931,334.7040,956.2971,0.0000,956.2971,0.0000,0,1724063154
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,4209.0267,2266.3990,6475.4257,3889.5675,2585.8582,0.0000,0,1724277707
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,46778.3719,32453.9912,17475.2260,49929.2172,26131.6339,23797.5833,0.0000,0,1724284097
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,8574.4174,5948.7762,3203.1872,9151.9634,4789.8960,4362.0674,0.0000,0,1724281266
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,3152.0365,2186.8261,1177.5218,3364.3479,1760.8109,1603.5370,0.0000,0,1724281485
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,2186.0568,1516.6468,816.6560,2333.3028,1221.1891,1112.1137,0.0000,0,1724281485
