pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3752.4052,9658.9736,5200.9858,14859.9593,7863.9417,6996.0176,0.0000,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,945.0190,2432.5500,1309.8346,3742.3846,2230.2246,1512.1600,0.0000,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,332.6870,856.3615,461.1177,1317.4792,0.0000,1317.4792,0.0000,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,55357.7745,24810.7109,13359.6136,38299.5763,21153.0913,17146.4850,129.2518,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,35016.5842,15694.0259,8450.6293,24226.4135,0.0000,24226.4135,81.7583,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,13800.6296,6185.2818,3330.5363,9548.0404,6583.5451,2964.4953,32.2223,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,12602.6627,5648.3669,3041.4283,8719.2205,6163.5491,2555.6714,29.4253,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,11147.7709,4996.3013,2690.3161,7712.6457,5653.4776,2059.1681,26.0283,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,10717.3657,4803.3987,2586.4454,7414.8675,5502.5816,1912.2859,25.0234,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,8732.2531,3913.6943,2107.3739,6041.4566,4806.6197,1234.8369,20.3884,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,7238.7968,3244.3446,1746.9548,5008.2008,4283.0279,725.1729,16.9015,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,4244.8560,1902.4951,1024.4204,2936.8266,2936.8266,0.0000,9.9111,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,1229.6536,551.1164,296.7550,850.7425,0.0000,850.7425,2.8710,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,933.2536,418.2734,225.2241,645.6765,0.0000,645.6765,2.1790,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,917.2396,411.0961,221.3595,634.5972,0.0000,634.5972,2.1416,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,913.2541,409.3099,220.3976,631.8398,0.0000,631.8398,2.1323,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,812.4912,364.1491,196.0803,562.1264,0.0000,562.1264,1.8970,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,7498.0435,4037.4081,11535.4516,5845.4719,5689.9797,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,106.4277,1202.6637,647.5881,1850.2518,937.5962,912.6557,0.0000,0
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,1486.5532,800.4517,2287.0049,1158.9163,1128.0886,0.0000,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,8685.5105,4676.8133,13362.3238,6771.2207,6591.1031,0.0000,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,47242.7689,34699.1416,18684.1532,53636.8364,27179.9173,26456.9191,253.5416,0
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,4159.7700,3055.2919,1645.1572,4722.7736,2393.2172,2329.5565,22.3246,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1391.9477,1022.3658,550.5047,1580.3408,800.8215,779.5193,7.4703,0
