pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,1486.3471,3825.4587,2059.8624,5885.3211,2632.7513,3252.5698,0.0000,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,523.0077,1346.0814,724.8131,2070.8945,1043.8234,1027.0711,0.0000,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,219.6887,565.4197,304.4567,869.8764,0.0000,869.8764,0.0000,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,19022.3889,14617.9659,7871.2124,22634.0929,10465.9128,12168.1801,144.9145,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,17448.8776,13408.7837,7220.1143,20761.8253,0.0000,20761.8253,132.9273,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,17354.7951,13336.4850,7181.1842,20649.8798,9639.3740,11010.5058,132.2106,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,5774.8091,4437.7162,2389.5395,6871.2488,3899.7820,2971.4667,43.9931,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2937.7214,2257.5247,1215.5902,3495.4947,2493.5864,1001.9083,22.3799,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,2388.7038,1835.6259,988.4140,2842.2373,2221.4672,620.7701,18.1974,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,2356.5504,1810.9174,975.1093,2803.9791,2205.5304,598.4487,17.9524,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,2160.7684,1660.4665,894.0973,2571.0248,2108.4916,462.5332,16.4610,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1928.0770,1481.6522,797.8127,2294.1532,1993.1586,300.9946,14.6883,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1680.0795,1291.0757,695.1946,1999.0694,1870.2392,128.8301,12.7990,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,937.7588,720.6311,388.0322,1115.8072,0.0000,1115.8072,7.1439,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,452.5710,347.7832,187.2679,538.4989,0.0000,538.4989,3.4477,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,2595.5930,1397.6270,3993.2200,1663.4057,2329.8143,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,252.3031,1873.2588,1008.6778,2881.9367,1200.4923,1681.4444,0.0000,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,1550.7980,835.0451,2819.0600,1174.3005,1644.7595,433.2169,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,12728.4583,9341.8166,5030.2089,14372.0255,6124.0369,8247.9886,0.0000,0
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,3000.8657,2202.4299,1185.9238,3388.3537,1548.7062,1839.6475,0.0000,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,583.6648,428.3700,230.6608,659.0308,0.0000,659.0308,0.0000,0
