pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,4548.9528,7828.4266,4215.3067,12438.5349,7474.6955,4963.8394,394.8016,0,1724286918
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,293.3049,504.7571,271.7923,802.0051,0.0000,802.0051,25.4558,0,1724254278
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,42815.6427,19503.2597,10501.7552,30197.9193,18683.9756,11513.9437,192.9043,0,1724253383
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,40893.7324,18627.7966,10030.3520,28842.3939,0.0000,28842.3939,184.2452,0,1724201903
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,30154.1837,13735.7480,7396.1720,21267.7785,13642.6342,7625.1444,135.8586,0,1724242607
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,29381.1959,13383.6387,7206.5747,20722.5894,13334.8580,7387.7314,132.3759,0,1724253467
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,19983.4761,9102.8162,4901.5164,14094.3674,9593.0211,4501.3463,90.0348,0,1724264027
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,15337.2169,6986.3654,3761.8891,10817.3557,7743.0464,3074.3094,69.1013,0,1723917863
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,10957.7450,4991.4408,2687.6989,7728.5094,5999.2968,1729.2126,49.3697,0,1724233451
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,10527.9836,4795.6771,2582.2877,7425.3983,5828.1811,1597.2171,47.4334,0,1724284271
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,9622.9700,4383.4279,2360.3073,6787.0912,5467.8370,1319.2542,43.3559,0,1724119583
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,8425.3055,3837.8712,2066.5460,5942.3771,4990.9697,951.4074,37.9599,0,1724170067
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,6616.4444,3013.9039,1622.8714,4666.5854,4270.7457,395.8397,29.8101,0,1723538879
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,5415.3418,2466.7811,1328.2667,3819.4465,3792.5095,26.9370,24.3986,0,1724284091
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1426.5628,649.8238,349.9051,1006.1563,0.0000,1006.1563,6.4273,0,1724275859
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1085.6713,494.5419,266.2918,765.7251,0.0000,765.7251,4.8915,0,1724009483
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,944.7349,430.3430,231.7231,666.3226,0.0000,666.3226,4.2565,0,1723414355
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,855.3778,389.6393,209.8058,603.2989,0.0000,603.2989,3.8539,0,1723234907
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,14307.8227,7704.2122,22012.0350,12426.4765,9585.5585,0.0000,0,1724251055
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,82.9313,1061.9440,571.8160,1633.7600,922.3082,711.4518,0.0000,0,1723974903
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,1327.2738,714.6859,2041.9597,1152.7496,889.2101,0.0000,0,1724063154
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,4030.1009,2170.0544,6200.1553,3500.1800,2699.9753,0.0000,0,1724277707
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,38293.7323,29611.5352,15944.6728,45574.7668,25728.3695,19846.3973,18.5588,0,1724285330
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,5298.3213,4097.0524,2206.1051,6305.7253,3559.7775,2745.9478,2.5678,0,1724281266
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,3219.1158,2489.2575,1340.3694,3831.1871,2162.8239,1668.3631,1.5601,0,1724281485
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,2699.1282,2087.1648,1123.8579,3212.3308,1813.4604,1398.8704,1.3081,0,1724281485
