pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,4029.9722,6787.4928,3654.8038,10903.0199,6321.3176,4581.7024,460.7233,0,1724286918
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,257.5918,433.8497,233.6114,696.9101,0.0000,696.9101,29.4490,0,1724254278
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,36127.9736,17298.3575,9314.5002,26824.0358,0.0000,26824.0358,211.1781,0,1724201903
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,22261.4251,10658.9451,5739.4320,16528.5014,10724.1774,5804.3240,130.1242,0,1724253467
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,12929.2648,6190.6335,3333.4180,9599.6267,6948.3256,2651.3012,75.5752,0,1723917863
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,12579.9768,6023.3917,3243.3648,9340.2899,6807.0014,2533.2885,73.5335,0,1724242607
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,11574.2795,5541.8559,2984.0763,8593.5870,6400.0898,2193.4972,67.6549,0,1724264027
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,9189.0684,4399.7981,2369.1221,6822.6329,5435.0181,1387.6147,53.7127,0,1724284271
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,4538.2959,2172.9717,1170.0617,3369.5610,3369.5610,0.0000,26.5276,0,1724170067
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,4290.5865,2054.3665,1106.1973,3185.6435,3185.6435,0.0000,25.0797,0,1724233451
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,4226.4956,2023.6793,1089.6735,3138.0578,3138.0578,0.0000,24.7050,0,1723538879
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,3837.3716,1837.3636,989.3496,2849.1438,2849.1438,0.0000,22.4305,0,1724119583
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,3296.5881,1578.4323,849.9251,2447.6268,2447.6268,0.0000,19.2695,0,1722556715
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1315.8790,630.0532,339.2594,977.0043,0.0000,977.0043,7.6917,0,1723234907
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,957.7203,458.5640,246.9191,711.0813,0.0000,711.0813,5.5981,0,1724009483
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,866.5793,414.9250,223.4211,643.4115,0.0000,643.4115,5.0654,0,1724284091
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,851.6278,407.7661,219.5664,632.3104,0.0000,632.3104,4.9780,0,1723414355
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,829.1703,397.0132,213.7764,615.6363,0.0000,615.6363,4.8467,0,1720001555
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,790.6694,378.5787,203.8501,587.0505,0.0000,587.0505,4.6217,0,1723196687
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,698.2196,334.3130,180.0147,518.4090,0.0000,518.4090,4.0813,0,1724275859
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,7024.7807,3782.5742,10807.3550,5889.4082,4917.9468,0.0000,0,1724251055
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,48.3023,879.0600,473.3400,1352.4000,0.0000,1352.4000,0.0000,0,1723974903
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,642.4326,345.9253,988.3579,0.0000,988.3579,0.0000,0,1724063154
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,5428.4244,2922.9977,8351.4221,5089.6613,3261.7608,0.0000,0,1724277707
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,6748.1575,6752.1348,3635.7649,10387.9288,5660.8442,4727.0846,0.0292,0,1724285330
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,5860.9503,5864.4047,3157.7564,9022.1864,4916.5905,4105.5959,0.0253,0,1724281266
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,3135.4777,3137.3257,1689.3292,4826.6685,2630.2663,2196.4023,0.0136,0,1724281485
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1594.2835,1595.2231,858.9663,2454.1963,1337.4007,1116.7956,0.0069,0,1724281485
