pool_id,chain,alliance_member,amount,target,pool_type
0x870c0Af8A1af0B58b4b0bD31CE4fe72864ae45BE,optimism,Rocket Pool,14.67243260650011090128486797,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Lido,258.4678648649817696104202554,0x87D93d9B2C672bf9c9642d853a8682546a5012B5,core
0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,base,Rocket Pool,31.18655021005119329590135167,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x5418a64e0cdb20548ACB394f5D00a089BAf02161,arbitrum,Rocket Pool,48.03625491773190606275566610,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
