pool_id,chain,symbol,earned_fees
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,1104.0965
0x483bc7fe92fc392305dd97d4d3363e0e0a7f144d,arbitrum,eeUSDC-yUSND,20.3376
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,138.1795
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,71.9880
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,1963.2778
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,38.8834
0x832f8e068e92d56b94205ea605e5cdaa7cded1f0,avalanche,tAVAX-waAvaSAVAX,30.6965
0xfcec3c8d86329defb548202fe1b86ff2188603a8,avalanche,Aave GHO/USDT/USDC,65.3430
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,21.5383
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,1175.0197
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,192.5646
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,11.5173
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,345.3346
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,13.9273
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,365.7170
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,27.3883
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,297.0879
0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,mainnet,rETH-waEthWETH,909.6952
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,119.6782
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,107.4379
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,995.9372
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,57.5024
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,4280.5210
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,671.5156
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,156.9300
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,310.0461
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,1203.6303
