pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x4fd63966879300cafafbb35d157dc5229278ed2300020000000000000000002b,optimism,BPT-rETH-ETH,4074.5876,314.1829,19.6364,27.4910,47.1274,219.9280,0.0000,219.9280,0.0000,0,1762421441,False
0x7ca75bdea9dede97f8b13c6641b768650cb837820002000000000000000000d5,optimism,ECLP-wstETH-WETH,4098.9486,126.5523,7.9095,11.0733,18.9828,88.5866,0.0000,88.5866,0.0000,0,1762344451,False
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,4122.2334,9841.1391,1230.1424,1722.1993,0.0000,5228.6691,0.0000,5228.6691,62.0711,0,1762373507,True
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,20.2438,2576.5668,322.0708,450.8992,0.0000,1819.8479,1819.8479,0.0000,16.2512,0,1762349291,False
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,22.9156,2158.6675,269.8334,377.7668,0.0000,1524.6826,1524.6826,0.0000,13.6154,0,1762405679,False
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.1676,128.7271,16.0909,22.5272,0.0000,0.0000,0.0000,0.0000,-90.1090,0,1762413227,False
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.4069,2.6125,0.3266,0.4572,0.0000,0.0000,0.0000,0.0000,-1.8288,0,1761946091,False
0xaa56989be5e6267fc579919576948db3e1f108070002000000000000000000ca,gnosis,ECLP-sDAI-USDC.e-rh,1.0526,31.6945,3.9618,5.5465,0.0000,22.1862,0.0000,22.1862,0.0000,0,1762323915,False
0x007bb7a4bfc214df06474e39142288e99540f2b3000200000000000000000191,base,20WETH-80IMO,5.4174,951.5332,118.9417,166.5183,0.0000,666.0733,0.0000,666.0733,0.0000,0,1762337917,False
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.1704,867.8540,108.4817,151.8744,0.0000,607.4978,0.0000,607.4978,0.0000,0,1762435521,False
