pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,1.0209,164.8829,24.3059,34.0283,0.0000,0.0000,0.0000,-115.4181,0,1740679809
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,2738.4771,145.1349,21.3948,29.9528,0.0000,0.0000,0.0000,-101.5944,0,1739332327
0x7abe8caa137cdb2490a9fa9f8be70cfbb0ff8652,arbitrum,yUSD-AaveUSDC,0.0000,67.6609,9.9741,13.9638,0.0000,0.0000,0.0000,-47.3626,0,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1.0211,62.1718,9.1650,12.8309,0.0000,0.0000,0.0000,-43.5203,0,1740546218
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,1.0385,61.0216,8.9954,12.5936,0.0000,0.0000,0.0000,-42.7151,0,1740669065
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,34.9154,5.1470,7.2058,0.0000,0.0000,0.0000,-24.4408,0,0
0x6ce1d1e46548ef657f8d7ebddfc4beadb04f72f30002000000000000000005a1,arbitrum,ECLP-wstETH-GYD,2722.8938,28.0072,4.1286,5.7801,0.0000,0.0000,0.0000,-19.6051,0,1740621870
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,1.0260,25.7928,3.8022,5.3231,0.0000,0.0000,0.0000,-18.0550,0,1740679047
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,19.9661,2.9433,4.1206,0.0000,0.0000,0.0000,-13.9763,0,0
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,1.0268,18.3706,2.7081,3.7913,0.0000,0.0000,0.0000,-12.8594,0,1740678644
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,15.6650,2.3092,3.2329,0.0000,0.0000,0.0000,-10.9655,0,0
0x7f98f42f9550f92dee91344d6b5ab11a9fec2b4e,arbitrum,tETH-Aave weETH,0.0000,14.7162,2.1694,3.0371,0.0000,0.0000,0.0000,-10.3013,0,0
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,2699.4079,12.2464,1.8053,2.5274,0.0000,0.0000,0.0000,-8.5725,0,1739886345
0xab297f94235de777b85024ed1208ff43852385d90000000000000000000005bb,arbitrum,wUSDL/GHO,1.0565,11.2958,1.6652,2.3312,0.0000,0.0000,0.0000,-7.9071,0,1740683524
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1.0664,4.9896,0.7355,1.0297,0.0000,0.0000,0.0000,-3.4927,0,1739494407
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,1.0209,4.2977,0.6335,0.8870,0.0000,0.0000,0.0000,-3.0084,0,1740679856
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1.0108,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1738101085
