pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x870c0af8a1af0b58b4b0bd31ce4fe72864ae45be,optimism,Balancer rETH-Aave wETH,0.0000,479.0675,28.8014,40.3220,69.1234,409.1239,0.0000,409.1239,86.5482,0,0,False
0x49e75c0df48ad09a0e20e8bbded07ee60dd8bc03,optimism,ss-sfrxETH-rETH-wstETH,0.0000,203.8575,12.2559,17.1582,29.4141,174.0944,0.0000,174.0944,36.8288,0,0,False
0xe0d0b607539fdb647c4e87eff89588c6bb669c03,optimism,bpt-wrsETH-waOptWETH,0.0000,101.0091,6.0726,8.5017,14.5743,0.0000,0.0000,0.0000,-68.0136,0,0,False
0xa4dd31a2725f74163b5826bbd1dfe7684215b104,optimism,eclp-sfrxUSD-waOptUSDCn,0.0000,58.0538,3.4902,4.8863,8.3764,0.0000,0.0000,0.0000,-39.0900,0,0,False
0x08a8bba83af849e3755771a4070aec87c9d6b86e,optimism,eclp-sfrxETH-waOptWETH,0.0000,24.1682,1.4530,2.0342,3.4872,0.0000,0.0000,0.0000,-16.2734,0,0,False
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,9812.8720,1226.6090,1717.2526,0.0000,7246.0994,5646.5327,1599.5667,377.0890,0,0,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,4140.4946,517.5618,724.5866,0.0000,2332.8706,2332.8706,0.0000,159.1109,0,0,True
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,3973.6606,496.7076,695.3906,0.0000,2934.2622,2079.7387,854.5235,152.6998,0,0,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,3951.8157,493.9770,691.5678,0.0000,2918.1313,2031.0972,887.0342,151.8603,0,0,False
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,0.0000,1226.7820,153.3478,214.6869,0.0000,905.8902,0.0000,905.8902,47.1428,0,0,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,1122.0242,140.2530,196.3542,0.0000,828.5341,0.0000,828.5341,43.1171,0,0,False
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,0.0000,1117.8090,139.7261,195.6166,0.0000,825.4215,0.0000,825.4215,42.9552,0,0,False
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,0.0000,563.5503,70.4438,98.6213,0.0000,0.0000,0.0000,0.0000,-394.4852,0,0,False
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,431.6671,53.9584,75.5417,0.0000,0.0000,0.0000,0.0000,-302.1669,0,0,False
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,0.0000,122.7305,15.3413,21.4778,0.0000,0.0000,0.0000,0.0000,-85.9114,0,0,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,101.3321,12.6665,17.7331,0.0000,0.0000,0.0000,0.0000,-70.9325,0,0,False
