pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,6283.3662,785.4208,1099.5891,4906.2140,3514.7367,1391.4773,507.8576,0,0,False
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,2877.4680,359.6835,503.5569,2246.8011,1748.5260,498.2751,232.5734,0,0,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,988.6550,123.5819,173.0146,771.9672,0.0000,771.9672,79.9088,0,0,False
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,326.3416,40.7927,57.1098,0.0000,0.0000,0.0000,-228.4391,0,0,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,246.2812,30.7851,43.0992,0.0000,0.0000,0.0000,-172.3968,0,0,False
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,200.7002,25.0875,35.1225,0.0000,0.0000,0.0000,-140.4901,0,0,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,141.7899,17.7237,24.8132,0.0000,0.0000,0.0000,-99.2529,0,0,False
0x10a04efba5b880e169920fd4348527c64fb29d4d,mainnet,B-csUSDC-csUSDL,0.0000,97.9075,12.2384,17.1338,0.0000,0.0000,0.0000,-68.5353,0,0,False
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000,54.7397,6.8425,9.5794,0.0000,0.0000,0.0000,-38.3178,0,0,False
0x64b84023cfe8397df83c67eaccc2c03ecda4aee5,mainnet,Aave PyUSD-Lido GHO,0.0000,48.4672,6.0584,8.4818,0.0000,0.0000,0.0000,-33.9270,0,0,False
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,0.0000,28.4620,3.5577,4.9808,0.0000,0.0000,0.0000,-19.9234,0,0,False
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,27.2248,3.4031,4.7643,0.0000,0.0000,0.0000,-19.0574,0,0,False
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,0.0000,1168.4571,97.4231,136.3923,975.8414,0.0000,975.8414,430.2722,0,0,False
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,644.5597,53.7418,75.2385,0.0000,0.0000,0.0000,-300.9541,0,0,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,276.9632,23.0925,32.3295,0.0000,0.0000,0.0000,-129.3181,0,0,False
0xb6a9a815d98cb98fd9f2353ec59de07b63f5b485,base,Surge yUSD-Aave USDC,0.0000,68715789258.7931,4824.6634,6754.5288,27018.1168,17943.6927,9074.4241,0.0017,0,0,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,2886.3943,0.0002,0.0003,0.0000,0.0000,0.0000,-0.0011,0,0,False
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,0.0000,824.2124,0.0001,0.0001,0.0000,0.0000,0.0000,-0.0003,0,0,False
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,438.2901,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,0,0,False
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,195.4474,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,0,0,False
0xacba78d745faae7751c09489d5f15a26eb27f1ad,base,Aave wstETH-wETH,0.0000,46.6704,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0,0,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,9822.8051,334.0657,467.6920,2104.6949,1397.8028,706.8921,233.9270,0,0,False
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,398.2286,13.5434,18.9608,0.0000,0.0000,0.0000,-75.8432,0,0,False
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,316.7525,10.7725,15.0815,0.0000,0.0000,0.0000,-60.3260,0,0,False
0xa0e5e7728e026bde02810d255a6b94a9aa47b5f9,arbitrum,Gyro eBTC-Aave USDCn,0.0000,244.9925,8.3320,11.6648,0.0000,0.0000,0.0000,-46.6592,0,0,False
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,64.8679,2.2061,3.0885,0.0000,0.0000,0.0000,-12.3542,0,0,False
0x7abe8caa137cdb2490a9fa9f8be70cfbb0ff8652,arbitrum,yUSD-AaveUSDC,0.0000,61.8787,2.1044,2.9462,0.0000,0.0000,0.0000,-11.7849,0,0,False
