pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,Lido,2245.6275,24078.9744,3009.8718,4213.8205,12641.4615,12096.1717,545.2899,0.0000,0,1743458015
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,Rocket Pool,2241.0491,19557.6657,2444.7082,3422.5915,10267.7745,0.0000,10267.7745,0.0000,0,1743304823
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,Renzo,2209.1372,8231.8798,1028.9850,1440.5790,4321.7369,4321.7369,0.0000,0.0000,0,1743410159
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,Radiant,0.2212,3010.3986,376.2998,526.8198,1580.4593,1075.5067,504.9526,0.0000,0,1743514140
