pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.2604,1773.8509,221.7314,310.4239,1241.6956,846.1460,395.5497,0.0000,0,1741819657
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,2285.5699,22574.1651,2821.7706,3950.4789,16187.2384,11878.0625,4309.1759,385.3228,0,1741768019
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2281.4873,17502.8944,2187.8618,3063.0065,12550.7864,0.0000,12550.7864,298.7603,0,1741749323
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,2248.3461,7800.0619,975.0077,1365.0108,5593.1841,4658.8084,934.3757,133.1408,0,1741792391
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,27.3289,7070.9872,883.8734,1237.4228,5070.3871,4302.5516,767.8355,120.6961,0,1741722179
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2264.6994,5278.3422,659.7928,923.7099,3784.9366,3426.5891,358.3475,90.0971,0,1741743935
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.4952,4061.3869,507.6734,710.7427,2912.2954,2831.9331,80.3623,69.3246,0,1741691963
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2250.3458,3803.1696,475.3962,665.5547,2727.1358,2727.1358,0.0000,64.9170,0,1741459175
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1.0125,3408.2731,426.0341,596.4478,2443.9677,2443.9677,0.0000,58.1765,0,1741821851
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0855,2599.0574,324.8822,454.8350,1863.7040,1863.7040,0.0000,44.3638,0,1741710647
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,27.3894,1513.0672,189.1334,264.7868,1084.9739,1084.9739,0.0000,25.8268,0,1741742423
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0154,1437.2457,179.6557,251.5180,1030.6046,1030.6046,0.0000,24.5326,0,1741608059
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2245.7501,1314.6474,164.3309,230.0633,942.6932,942.6932,0.0000,22.4400,0,1741514903
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,2241.7421,845.7754,105.7219,148.0107,606.4795,0.0000,606.4795,14.4367,0,1741656683
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,2623.9416,726.7036,90.8379,127.1731,521.0967,0.0000,521.0967,12.4042,0,1741731779
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,2259.2735,611.9273,76.4909,107.0873,0.0000,0.0000,0.0000,-428.3491,0,1741777115
0xda17f3663c5d04c0b316cfa1a04aa53ebbc8c12c0000000000000000000006e7,mainnet,eBTC/wBTC,85874.0373,377.1815,47.1477,66.0068,0.0000,0.0000,0.0000,-264.0271,0,1741687259
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.2226,296.2534,37.0317,51.8443,0.0000,0.0000,0.0000,-207.3774,0,1741794911
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2262.8446,292.3731,36.5466,51.1653,0.0000,0.0000,0.0000,-204.6612,0,1741685291
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,2227.4501,278.5227,34.8153,48.7415,0.0000,0.0000,0.0000,-194.9659,0,1741216415
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1.0442,92.9411,11.6176,16.2647,0.0000,0.0000,0.0000,-65.0588,0,1741458035
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,2214.7088,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1736766371
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,2239.4751,4787.1307,598.3913,837.7479,3500.1192,2385.1350,1114.9842,149.1277,0,1741577540
0x8dd4df4ce580b9644437f3375e54f1ab0980822800020000000000000000009c,gnosis,ECLP-wstETH-WETH,2236.0487,157.1564,19.6445,27.5024,0.0000,0.0000,0.0000,-110.0095,0,1741825330
0xaa56989be5e6267fc579919576948db3e1f108070002000000000000000000ca,gnosis,ECLP-sDAI-USDC.e-rh,1.0293,46.2420,5.7803,8.0924,0.0000,0.0000,0.0000,-32.3694,0,1741680945
0x1e8b447129984d8a6b652c807dfc3bd1359731330002000000000000000000d6,gnosis,ECLP-GYD-sDAI,1.0166,6.6601,0.8325,1.1655,0.0000,0.0000,0.0000,-4.6621,0,1741537095
0x263a6edafa6444dc2ae550f9eff6344c1686d6aa0002000000000000000000d5,gnosis,ECLP-GYD-AUSDC.e,1.0056,2.9810,0.3726,0.5217,0.0000,0.0000,0.0000,-2.0867,0,1741481495
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,2244.7796,8716.8411,1089.6051,1525.4472,6101.7887,4158.0270,1943.7618,0.0000,0,1741816817
0x007bb7a4bfc214df06474e39142288e99540f2b3000200000000000000000191,base,20WETH-80IMO,6.4617,2005.0658,250.6332,350.8865,1403.5460,956.4379,447.1081,0.0000,0,1741691829
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,21.6087,1115.4164,139.4271,195.1979,870.4762,0.0000,870.4762,89.6847,0,1741779869
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,21.4436,128.1210,16.0151,22.4212,0.0000,0.0000,0.0000,-89.6847,0,1741783908
0xb3047330c1cb5eb1a3670fabfb99bdc106d631eb0000000000000000000005e4,arbitrum,sUSDX/USDX,1.0048,6808.7691,851.0961,1191.5346,5788.6230,4175.0656,1613.5574,1022.4847,0,1741823633
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.2246,3130.0330,391.2541,547.7558,2661.0656,2043.8105,617.2551,470.0425,0,1741825096
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,2217.2146,1483.0448,185.3806,259.5328,1260.8428,1089.6372,171.2056,222.7114,0,1741788101
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,2264.8710,1193.2980,149.1622,208.8271,1014.5082,0.0000,1014.5082,179.1996,0,1741785814
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,2218.3934,475.2034,59.4004,83.1606,0.0000,0.0000,0.0000,-332.6424,0,1741816860
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,2233.6835,405.3629,50.6704,70.9385,0.0000,0.0000,0.0000,-283.7541,0,1741534861
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,2248.5085,390.2260,48.7783,68.2896,0.0000,0.0000,0.0000,-273.1582,0,1741579278
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,2234.1039,293.1419,36.6427,51.2998,0.0000,0.0000,0.0000,-205.1993,0,1741815638
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,2224.3210,266.5239,33.3155,46.6417,0.0000,0.0000,0.0000,-186.5667,0,1741817467
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,2217.1987,179.1542,22.3943,31.3520,0.0000,0.0000,0.0000,-125.4080,0,1740992192
