pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0xe3a85e913f967406823cde9c390ae7bad9496367,base,ExtraFi-exUSDC-exUSR,0.0000,200.8486,25.1061,35.1485,0.0000,0.0000,0.0000,0.0000,-140.5940,0,0,False
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,165.7323,20.7165,29.0032,0.0000,0.0000,0.0000,0.0000,-116.0126,0,0,False
0xb6a9a815d98cb98fd9f2353ec59de07b63f5b485,base,Surge yUSD-Aave USDC,0.0000,52.4195,6.5524,9.1734,0.0000,0.0000,0.0000,0.0000,-36.6936,0,0,False
0x22715161201922af61f4ca22e979ef0c6c20be13,avalanche,Surge eK3 savUSD-USDT,0.0000,936.8462,117.1058,163.9481,0.0000,995.4366,995.4366,0.0000,339.6442,0,0,False
0xa4e1b0ddffc0e3aa63dbca462cf370e4f1dc9b8b,avalanche,Gyro AAVE WAVAX-USDC,0.0000,890.4691,111.3086,155.8321,0.0000,946.1590,0.0000,946.1590,322.8307,0,0,False
0x31ae873544658654ce767bde179fd1bbcb84850b,avalanche,Aave USDT/USDC/AUSD,0.0000,816.3488,102.0436,142.8610,0.0000,867.4033,0.0000,867.4033,295.9591,0,0,False
0xfcec3c8d86329defb548202fe1b86ff2188603a8,avalanche,Aave GHO/USDT/USDC,0.0000,551.0512,68.8814,96.4340,0.0000,0.0000,0.0000,0.0000,-385.7359,0,0,False
0x99a9a471dbe0dcc6855b4cd4bbabeccb1280f5e8,avalanche,aWAVAX-aSAVAX-ggAVAX,0.0000,331.3793,41.4224,57.9914,0.0000,0.0000,0.0000,0.0000,-231.9655,0,0,False
0x695a7f28c3628187c8264d2cdf7a617036ba8406,avalanche,upAUSD-savUSD-sdeUSD,0.0000,174.1651,21.7706,30.4789,0.0000,0.0000,0.0000,0.0000,-121.9156,0,0,False
0xc07f45ee39f3fa2abaeb2b3309543e69129e3c21,avalanche,Euler Re7 savUSD-AUSD-USDC,0.0000,162.8979,20.3622,28.5071,0.0000,0.0000,0.0000,0.0000,-114.0285,0,0,False
0x58374fff35d1f3023bbfc646fb9ecd2b180ca0b0,avalanche,Aave wAVAX/BTC.b,0.0000,149.6978,18.7122,26.1971,0.0000,0.0000,0.0000,0.0000,-104.7885,0,0,False
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,0.0000,1899.8052,237.4757,332.4659,0.0000,1771.5392,1156.9128,614.6264,441.6755,0,0,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,1724.7105,215.5888,301.8243,0.0000,1608.2660,1050.2864,557.9796,400.9687,0,0,False
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,363.3479,45.4185,63.5859,0.0000,0.0000,0.0000,0.0000,-254.3435,0,0,False
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,349.0442,43.6305,61.0827,0.0000,0.0000,0.0000,0.0000,-244.3309,0,0,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,257.2042,32.1505,45.0107,0.0000,0.0000,0.0000,0.0000,-180.0429,0,0,False
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,0.0000,150.9447,18.8681,26.4153,0.0000,0.0000,0.0000,0.0000,-105.6613,0,0,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,83.2365,10.4046,14.5664,0.0000,0.0000,0.0000,0.0000,-58.2656,0,0,False
